file, jumlah, tak_terdeteksi, false_positive, benar_deteksi, jumlah_terdeteksi, persentase_terdeteksi, persentase_false_positive, akurasi
01223.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01225.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01228.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01230.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01231.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01233.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01234.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
01235.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01237.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
01254.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01256.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01259.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01265.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01271.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01274.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01277.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
01286.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01287.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01288.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01296.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01299.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01303.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01304.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01306.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01313.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
01318.jpg, 2, 1, 1, 1, 2, 50.0, 50.0, 100.0
01320.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01321.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01323.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01324.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01325.jpg, 1, 1, 0, 0, 0, 0.0, None, None
